"","Pipra mentalis","Pipra coronata","Catharus ustulatus","Manacus vitellinus","Catharus fuscescens","Catharus minimus","Habia fuscicauda","Schiffornis turdinus","Empidonax virescens","Mionectes oleagineus","Trogon rufus"
"Psychotria hoffmannseggiana",52,7,3,1,1,3,0,1,0,0,0
"Psychotria marginata",18,16,3,10,7,0,0,1,0,0,1
"Psychotria acuminata",26,7,13,0,1,3,0,0,0,0,0
"Psychotria deflexa",9,11,5,0,0,0,3,0,0,0,0
"Psychotria horizontalis",13,2,6,2,2,1,0,0,1,1,0
"Psychotria limonensis",21,0,1,1,2,0,0,0,0,0,0
"Psychotria poeppigiana",6,3,1,1,0,0,2,0,0,0,0
"Psychotria emetica",0,0,3,0,0,4,0,0,0,0,0
"Psychotria psychotrifolia",3,2,0,0,0,0,0,0,0,0,0
"Psychotria brachybotrya",1,2,1,0,0,0,0,0,0,0,0
"Psychotria pittieri",0,1,0,2,0,0,0,0,0,0,0
"Psychotria racemosa",1,1,0,1,0,0,0,0,0,0,0
"Psychotria grandis",2,0,0,0,0,0,0,0,0,0,0
