"","Pycnonotus barbatus","Cercopithecus mitis","Sylvia atricapilla","Cercopithecus ascanius","Cinnyricinclus leucogaster","Phylloscopus trochilus","Turdus pelios","Andropadus latirostris","Zosterops senegalensis","Ceratogymna subcylindrica","Buccanodon duchaillui","Colobus guereza","Pogoniulus bilineatus","Chlorocichla laetissima","Gymnobucco bonapartei","Andropadus masukuensis","Ploceus bicolor","Phyllastrephus hypochloris","Andropadus curvirostris","Heliosciurus rufobrachium","Melaniparus funereus","Phylloscopus budongoensis","Phyllastrephus cabanisi","Trachyphonus purpuratus","Andropadus gracilirostris","Serinus citrinelloides","Apalis rufogularis","Baeopogon indicator","Hippolais pallida","Andropadus virens","Serinus mozambicus","Colius striatus","Musophaga rossae","Nigrita canicapillus","Papio anubis","Turtur tympanistria","Tricholaema hirsuta","Bleda syndactylus","Oriolus brachyrhynchus","Phylloscopus sibilatrix","Treron calvus","Turdus olivaceus","Cuculus clamosus","Ploceus nigerrimus","Sylvia borin","Alethe poliocephala","Eremomela turneri","Andropadus ansorgei","Estrilda nonnula","Nigrita fusconotus","Elminia longicauda","Platysteira castanea","Platysteira cyanea","Ploceus insignis","Ploceus melanocephalus","Ploceus ocularis","Turdoides sharpei","Anthoscopus caroli","Bathmocercus rufus","Centropus monachus","Chalcomitra senegalensis","Columba larvata","Cossypha polioptera","Laniarius luehderi","Lybius bidentatus","Melaniparus albiventris","Phoenicurus phoenicurus","Ploceus baglafecht","Ploceus nigricollis","Schistolais leucopogon","Serinus dorsostriatus","Spermophaga ruficapilla","Terpsiphone viridis","Tockus alboterminatus","Campephaga flava","Chalcomitra amethystina","Chlorocichla flavicollis","Cossypha heuglini","Cossypha niveicapilla","Cyanomitra olivacea","Cyanomitra verticalis","Dicrurus adsimilis","Hylia prasina","Malimbus rubricollis","Oriolus auratus","Prinia bairdii","Prodotiscus insignis","Sylvia communis"
"Unidentified sp1 M_SD_034",128,19,64,11,1,30,94,21,69,24,26,0,9,15,4,28,3,10,6,0,3,3,0,6,3,14,3,1,1,7,0,0,2,0,0,1,2,1,1,0,2,1,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
"Unidentified sp2 M_SD_034",110,35,23,19,0,39,11,33,1,61,59,5,3,12,19,1,1,4,5,3,9,1,0,5,6,0,2,4,5,0,0,0,0,0,9,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prunus africana",70,2,3,0,190,82,15,0,0,0,0,1,1,1,0,0,0,0,3,0,0,4,0,0,3,0,7,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bridelia micrantha",54,20,37,24,3,0,25,21,22,18,13,15,18,22,9,2,2,8,1,3,0,0,3,3,3,0,0,7,1,0,2,0,2,0,0,3,1,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ficus sur",30,28,8,52,0,3,1,9,6,2,10,50,6,2,1,1,5,0,7,2,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Manilkara butugi",27,36,9,29,0,4,0,6,3,12,0,12,0,4,1,2,1,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antiaris toxicaria",62,16,8,9,0,12,0,1,2,2,0,11,0,0,0,3,4,0,2,1,11,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blighia unijugata",4,1,7,8,0,0,0,15,5,12,13,15,5,6,11,2,11,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morus mesozygia",5,27,2,46,0,0,0,7,0,2,0,9,0,2,0,0,0,0,2,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trilepisium madagascariense",0,67,0,22,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ficus exasperata",9,34,21,13,0,2,0,0,3,0,0,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Polyscias fulva",42,1,16,0,0,4,0,3,6,0,1,0,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyphostemma cyphopetalum",9,0,9,0,0,0,2,1,10,0,1,0,7,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Casearia battiscombei",2,5,1,1,0,2,0,0,0,0,0,0,24,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harungana madagascariensis",2,0,11,0,0,0,4,6,3,0,0,0,8,6,0,0,0,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lantana camara",7,0,13,1,0,0,0,0,4,0,1,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
"Solanum mauritianum",0,0,6,0,0,6,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Jasminum fluminense",2,0,11,0,0,0,0,2,0,0,1,0,6,2,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carissa edulis",8,0,2,0,0,0,4,3,0,0,1,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cissus oliveri",3,0,2,0,0,0,0,3,4,0,0,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maesa lanceolata",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Pittosporum viridiflorum",6,0,5,0,0,0,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhamnus prinoides",6,0,5,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clerodendrum capitatum",0,0,6,0,0,0,1,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Toddalia asiatica",0,0,7,1,0,0,0,2,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
