PF00005	PF01497
PF00008	PF01826
PF00008	PF03974
PF00014	PF00594
PF00014	PF01108
PF00014	PF09294
PF00014	PF09396
PF00023	PF09080
PF00032	PF00034
PF00032	PF02320
PF00032	PF05115
PF00032	PF05365
PF00032	PF07686
PF00032	PF09165
PF00033	PF00034
PF00033	PF00384
PF00033	PF01568
PF00033	PF02320
PF00033	PF04879
PF00033	PF05115
PF00033	PF05365
PF00033	PF07686
PF00033	PF08041
PF00033	PF09165
PF00034	PF00355
PF00034	PF00675
PF00034	PF00737
PF00034	PF01405
PF00034	PF01716
PF00034	PF01737
PF00034	PF02271
PF00034	PF02320
PF00034	PF02419
PF00034	PF02532
PF00034	PF02533
PF00034	PF02921
PF00034	PF02939
PF00034	PF02975
PF00034	PF05151
PF00034	PF05193
PF00034	PF05365
PF00034	PF05969
PF00034	PF06596
PF00036	PF00167
PF00037	PF00504
PF00037	PF00796
PF00037	PF01241
PF00037	PF01512
PF00037	PF01701
PF00037	PF02507
PF00037	PF02605
PF00037	PF03244
PF00037	PF05479
PF00037	PF07465
PF00037	PF08078
PF00037	PF10531
PF00037	PF10589
PF00047	PF00405
PF00047	PF00509
PF00051	PF01033
PF00051	PF07686
PF00051	PF09396
PF00057	PF02226
PF00057	PF05922
PF00058	PF05922
PF00059	PF00079
PF00059	PF00516
PF00071	PF11538
PF00073	PF08935
PF00079	PF04490
PF00079	PF04491
PF00079	PF08391
PF00084	PF00092
PF00084	PF05375
PF00084	PF09240
PF00111	PF01058
PF00116	PF02046
PF00116	PF02285
PF00116	PF07835
PF00124	PF01737
PF00124	PF02533
PF00124	PF05969
PF00136	PF08804
PF00137	PF00401
PF00137	PF02874
PF00163	PF00338
PF00163	PF00411
PF00163	PF00833
PF00163	PF01090
PF00163	PF01200
PF00163	PF01248
PF00163	PF01249
PF00163	PF01251
PF00163	PF01283
PF00163	PF01599
PF00163	PF01667
PF00163	PF03297
PF00163	PF03501
PF00163	PF08069
PF00163	PF09598
PF00177	PF00253
PF00177	PF00410
PF00177	PF00833
PF00177	PF01015
PF00177	PF01090
PF00177	PF01248
PF00177	PF01249
PF00177	PF01251
PF00177	PF01283
PF00177	PF01599
PF00177	PF01667
PF00177	PF03501
PF00177	PF08069
PF00177	PF09598
PF00189	PF00318
PF00189	PF00410
PF00189	PF00411
PF00189	PF01015
PF00189	PF01090
PF00189	PF01200
PF00189	PF01248
PF00189	PF01249
PF00189	PF01251
PF00189	PF01283
PF00189	PF01599
PF00189	PF01667
PF00189	PF03297
PF00189	PF08069
PF00203	PF00253
PF00203	PF00312
PF00203	PF00338
PF00203	PF00410
PF00203	PF00411
PF00203	PF00833
PF00203	PF01015
PF00203	PF01090
PF00203	PF01200
PF00203	PF01248
PF00203	PF01249
PF00203	PF01251
PF00203	PF01283
PF00203	PF01667
PF00203	PF03297
PF00203	PF03501
PF00203	PF08069
PF00207	PF00431
PF00213	PF04627
PF00223	PF00504
PF00223	PF05479
PF00231	PF05511
PF00231	PF05873
PF00237	PF00252
PF00237	PF00281
PF00237	PF00297
PF00237	PF00327
PF00237	PF00347
PF00237	PF00428
PF00237	PF00572
PF00237	PF00673
PF00237	PF00827
PF00237	PF00832
PF00237	PF01157
PF00237	PF01158
PF00237	PF01159
PF00237	PF01198
PF00237	PF01199
PF00237	PF01246
PF00237	PF01247
PF00237	PF01294
PF00237	PF01655
PF00237	PF01776
PF00237	PF01777
PF00237	PF01779
PF00237	PF01781
PF00237	PF01907
PF00237	PF01929
PF00237	PF03939
PF00237	PF08079
PF00252	PF00276
PF00252	PF00327
PF00252	PF00347
PF00252	PF00428
PF00252	PF00467
PF00252	PF00827
PF00252	PF00832
PF00252	PF00861
PF00252	PF01157
PF00252	PF01158
PF00252	PF01159
PF00252	PF01198
PF00252	PF01199
PF00252	PF01246
PF00252	PF01247
PF00252	PF01248
PF00252	PF01294
PF00252	PF01655
PF00252	PF01776
PF00252	PF01777
PF00252	PF01779
PF00252	PF01781
PF00252	PF01907
PF00252	PF01929
PF00252	PF03939
PF00252	PF08079
PF00253	PF00312
PF00253	PF00400
PF00253	PF00410
PF00253	PF00411
PF00253	PF00833
PF00253	PF01015
PF00253	PF01090
PF00253	PF01200
PF00253	PF01248
PF00253	PF01249
PF00253	PF01251
PF00253	PF01283
PF00253	PF01599
PF00253	PF01667
PF00253	PF03297
PF00253	PF08069
PF00253	PF09598
PF00267	PF01378
PF00271	PF00584
PF00276	PF00327
PF00276	PF00428
PF00276	PF00827
PF00276	PF00832
PF00276	PF01157
PF00276	PF01158
PF00276	PF01159
PF00276	PF01198
PF00276	PF01199
PF00276	PF01246
PF00276	PF01247
PF00276	PF01248
PF00276	PF01294
PF00276	PF01655
PF00276	PF01776
PF00276	PF01777
PF00276	PF01779
PF00276	PF01781
PF00276	PF01907
PF00276	PF01929
PF00276	PF08079
PF00281	PF00327
PF00281	PF00347
PF00281	PF00428
PF00281	PF00572
PF00281	PF00827
PF00281	PF00832
PF00281	PF00861
PF00281	PF01157
PF00281	PF01158
PF00281	PF01159
PF00281	PF01198
PF00281	PF01199
PF00281	PF01246
PF00281	PF01247
PF00281	PF01248
PF00281	PF01294
PF00281	PF01655
PF00281	PF01776
PF00281	PF01777
PF00281	PF01779
PF00281	PF01781
PF00281	PF01907
PF00281	PF01929
PF00281	PF03939
PF00281	PF08079
PF00283	PF01405
PF00283	PF01716
PF00283	PF01737
PF00283	PF02419
PF00283	PF02532
PF00283	PF02533
PF00283	PF05151
PF00283	PF05969
PF00283	PF06514
PF00284	PF01405
PF00284	PF01716
PF00284	PF01737
PF00284	PF02419
PF00284	PF02532
PF00284	PF02533
PF00284	PF05151
PF00284	PF05969
PF00284	PF06514
PF00284	PF06596
PF00297	PF00327
PF00297	PF00428
PF00297	PF00467
PF00297	PF00827
PF00297	PF00828
PF00297	PF00832
PF00297	PF00861
PF00297	PF01157
PF00297	PF01158
PF00297	PF01159
PF00297	PF01198
PF00297	PF01199
PF00297	PF01246
PF00297	PF01247
PF00297	PF01248
PF00297	PF01294
PF00297	PF01655
PF00297	PF01776
PF00297	PF01777
PF00297	PF01779
PF00297	PF01781
PF00297	PF01907
PF00297	PF01929
PF00297	PF03939
PF00297	PF08079
PF00312	PF00411
PF00312	PF00833
PF00312	PF01015
PF00312	PF01200
PF00312	PF01248
PF00312	PF01249
PF00312	PF01283
PF00312	PF01599
PF00312	PF03297
PF00312	PF03501
PF00312	PF09598
PF00318	PF01015
PF00318	PF01200
PF00318	PF01251
PF00318	PF01283
PF00318	PF01599
PF00318	PF03297
PF00318	PF03501
PF00318	PF08069
PF00318	PF09598
PF00327	PF00347
PF00327	PF00428
PF00327	PF00572
PF00327	PF00573
PF00327	PF00673
PF00327	PF00827
PF00327	PF00828
PF00327	PF00832
PF00327	PF00861
PF00327	PF01157
PF00327	PF01158
PF00327	PF01159
PF00327	PF01198
PF00327	PF01199
PF00327	PF01246
PF00327	PF01247
