#ProteinA	ProteinB	PDB_Code	evidence
A0A5B9	P01887	3o8x,3o9w	MI:0114  x-ray crystallography
A0A5B9	P61769	2bnq	MI:0114  x-ray crystallography
A0N6Y3	P00127	2ibz	MI:0114  x-ray crystallography
A0N6Y3	P00128	2ibz	MI:0114  x-ray crystallography
A0N6Y3	P00163	2ibz	MI:0114  x-ray crystallography
A0N6Y3	P07143	2ibz	MI:0114  x-ray crystallography
A0N6Y3	P07256	2ibz	MI:0114  x-ray crystallography
A0N6Y3	P07257	2ibz	MI:0114  x-ray crystallography
A0N6Y3	P08525	2ibz	MI:0114  x-ray crystallography
A0N6Y3	P22289	2ibz	MI:0114  x-ray crystallography
A0N8N6	P61769	2uwe	MI:0114  x-ray crystallography
A1BBA0	P22619	3rmz	MI:0114  x-ray crystallography
A1EKW0	Q9KN57	3zrj	MI:0114  x-ray crystallography
A1KGL6	O53799	3hug	MI:0114  x-ray crystallography
A1KGL6	Q7D9D3	3hug	MI:0114  x-ray crystallography
A1KGL7	A2VG40	3hug	MI:0114  x-ray crystallography
A1KGL7	O53799	3hug	MI:0114  x-ray crystallography
A1KGL7	Q7D9D3	3hug	MI:0114  x-ray crystallography
A1KGL7	Q7D9D4	3hug	MI:0114  x-ray crystallography
A1KKF3	A2VJK8	3mka	MI:0114  x-ray crystallography
A1KKF3	A4KIP1	3h6i,3mka	MI:0114  x-ray crystallography
A1KKF3	A5U4D5	3mka	MI:0114  x-ray crystallography
A1KKF3	A5U4D6	3h6i,3mka	MI:0114  x-ray crystallography
A1KKF3	A5WP83	3h6i	MI:0114  x-ray crystallography
A1KKF3	D5XUM4	3mka	MI:0114  x-ray crystallography
A1KKF3	D5YRR7	3mka	MI:0114  x-ray crystallography
A1KKF3	D5Z4X8	3h6i	MI:0114  x-ray crystallography
A1KKF3	D6FCP8	3mka	MI:0114  x-ray crystallography
A1KKF3	E2TAM5	3mka	MI:0114  x-ray crystallography
A1KML1	O33348	3g5o	MI:0114  x-ray crystallography
A1VXZ7	A3ZJL2	3d6x	MI:0114  x-ray crystallography
A1Y291	O75475	3hpg,3hph	MI:0114  x-ray crystallography
A1Z6E0	P62869	2fnj	MI:0114  x-ray crystallography
A1Z6E0	P62869	2FNJ	MI:0114  x-ray crystallography
A2AT02	O35987	1s3s	MI:0114  x-ray crystallography
A2AT02	Q01853	1s3s	MI:0114  x-ray crystallography
A2NTY6	A8CDU0	2icw	MI:0114  x-ray crystallography
A2NTY6	A9JJF6	2icw	MI:0114  x-ray crystallography
A2NTY6	P01903	2icw	MI:0114  x-ray crystallography
A2NUT2	A6N6W4	3gbm	MI:0114  x-ray crystallography
A2NUT2	A6N6W6	3gbm	MI:0114  x-ray crystallography
A2NUT2	Q1PHM6	3lqa	MI:0114  x-ray crystallography
A2NUT2	Q6DQ33	3gbm	MI:0114  x-ray crystallography
A2NV54	Q9WFX3	3gbn	MI:0114  x-ray crystallography
A2NVF0	P04234	1xiw	MI:0114  x-ray crystallography
A2S9Z8	A8KVB0	3gk0	MI:0114  x-ray crystallography
A2VG40	A5WKA4	3hug	MI:0114  x-ray crystallography
A2VGP3	A5U4K5	2w1a	MI:0114  x-ray crystallography
A2VGP3	P64767	2w1a	MI:0114  x-ray crystallography
A2VJK8	A5U4D5	3mka	MI:0114  x-ray crystallography
A2VJK8	A5U4D6	3mka	MI:0114  x-ray crystallography
A2VJK8	C1AQ26	3mka	MI:0114  x-ray crystallography
A2VJK8	D5YRR7	3mka	MI:0114  x-ray crystallography
A2VJK8	D5Z4X9	3mka	MI:0114  x-ray crystallography
A2VJK8	D6FCP8	3mka	MI:0114  x-ray crystallography
A2VJK8	D7ESJ2	3mka	MI:0114  x-ray crystallography
A2VJK8	E2TAM5	3mka	MI:0114  x-ray crystallography
A2VKP7	C1AF05	3n59	MI:0114  x-ray crystallography
A2VKP7	D5YI18	3n59	MI:0114  x-ray crystallography
A2VKP7	D5YUF7	3n59	MI:0114  x-ray crystallography
A2VKP7	P0A4Z6	3n59	MI:0114  x-ray crystallography
A3DDN1	P71143	3p0d,4fl4	MI:0114  x-ray crystallography
A3MM39	Q3JQ80	3gk0	MI:0114  x-ray crystallography
A3MN95	A8KWB0	3ez4	MI:0114  x-ray crystallography
A3MN95	B7CL66	3ez4	MI:0114  x-ray crystallography
A3MN95	C0XZF8	3ez4	MI:0114  x-ray crystallography
A3MN95	Q63R49	3ez4	MI:0114  x-ray crystallography
